date,state,tot_cases,new_case,tot_death,conf_death,new_death,total_vaccinations,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-03-01,AR,322509,94,5250,,7,661572.0,424534.0,7.73,21.92,233135.0,14.07,29.58,18023.0,5972.0,0.741
2021-01-12,IA,298406,1105,4222,,83,98691.0,91969.0,0.19,3.13,6099.0,2.91,6.62,,,0.47200000000000003
2021-01-16,OH,821507,7065,10135,9080.0,78,,,,,,,,21926.0,1876.0,
2021-02-14,AR,313028,466,5265,,13,472536.0,338611.0,4.33,15.66,130637.0,11.22,20.9,11299.0,3744.0,0.7490000000000001
2021-02-26,KS,293663,826,4735,,11,560776.0,383658.0,5.93,19.25,172744.0,13.17,29.58,13437.0,4612.0,0.6509999999999999
2021-01-19,SD,105786,127,1667,1346.0,0,61113.0,51288.0,1.11,6.91,9777.0,5.8,10.59,1774.0,2005.0,0.652
2021-03-10,OH,983486,1868,17825,17825.0,0,3316480.0,2109012.0,10.35,28.37,1209855.0,18.04,38.03,75203.0,6434.0,0.746
2021-01-25,GA,870828,3917,13303,11854.0,53,604067.0,534161.0,0.56,5.69,59965.0,5.03,11.64,44570.0,4198.0,0.489
2021-01-13,IA,300304,1898,4232,,10,112093.0,101859.0,0.3,3.55,9603.0,3.23,8.37,13402.0,4248.0,0.424
2021-01-19,MA,463998,2567,13677,13469.0,45,318877.0,277612.0,0.6,4.63,41053.0,4.03,9.71,16399.0,2379.0,0.47600000000000003
2021-02-01,OH,899079,3287,11230,10000.0,55,1004624.0,824597.0,1.53,8.59,179168.0,7.05,13.29,45572.0,3899.0,0.647
2021-01-26,FL,1637296,9466,25673,,227,1575490.0,1412466.0,0.74,7.34,158886.0,6.58,14.41,57258.0,2666.0,0.509
2021-02-13,OK,416213,1111,4034,3568.0,30,660835.0,468199.0,4.77,16.7,188852.0,11.83,20.61,17083.0,4317.0,0.81
2021-01-21,TN,697783,3492,8684,7221.0,128,375669.0,313154.0,0.9,5.5,61743.0,4.59,10.6,15851.0,2321.0,0.519
